Title,Source,Location,Publisher Location,Date,Sentences,Relevant
Mutual fund industry expects higher investment flow after demonetisation,IANS English,Chennai,Noida,2016-11-15,"Chennai, Nov 15 (IANS) The mutual fund industry is likely to be a beneficiary of the demonetisation of Rs 500 and Rs",0
Shiv Sena on board for Mamata's march against demonetisation,IANS English,New Delhi,Noida,2016-11-15,"General Secretary Sitaram Yechury to express concern over demonetisation, the Marxists are unlikely to be part of the Trinamool march. Replying to media queries on",0
"Demonetisation will hit agriculture, informal workers worst",The Sentinel,NA,NEW DELHI,2016-11-15,"was expected to grow at 4 per cent this year, according to a CRISIL report, but demonetisation is likely to dent that forecast. India is",0
"Rs 500, Rs 1000 notes ban set to boost gold import in November",Financial Express,NA,NEW DELHI,2016-11-15,rural markets. The bullion industry panicked on Monday as rumours that the government may ban or further curb gold imports to harden its crackdown on,2
Demonetisation unlikely to succeed in war on graft: Gogoi,The Assam Tribune,GUWAHATI,New Delhi,2016-11-15,"government) credit,' he said, adding that the major beneficiaries of black money are unlikely to suffer any problem. The former Chief Minister said demonetisation initiatives",0
Demonetisation exercise: A trust deficit emerging,Herald,Goa,New Delhi,2016-11-15,"did he not assess this problem earlier? If the new Rs 500 note was likely to be delayed, why was the demonetisation exercise not pushed",0
Two-wheelers sales to be affected by demonetisation: ICRA,IANS English,Kolkata,Noida,2016-11-15,"Kolkata, Nov 15 (IANS) The November 9 demonetisation is likely to dent domestic two-wheeler sales in the near term, rating agency ICRA",0
How demonetisation and Donald Trump's victory impact your investments [Invest],The Economic Times,NA,New Delhi,2016-11-15,"Sharma. This is because of the deflationary impact of demonetisation. ""We are likely to see some decline in inflationary pressures as demand comes down in",0
Flushing out black money is a long haul,Businessline,NA,Chennai,2016-11-15,"Otherwise, the cycle of black money will begin again and we will have to wait for another round of demonetisation, or perhaps more comprehensive, multi-pronged",1
"Demonetisation will hit agriculture, informal workers worst: study (Special to IANS)",IANS English,NA,Noida,2016-11-15,"was expected to grow at 4 per cent this year, according to a CRISIL report, but demonetisation is likely to dent that forecast. India is",0
Cash flows from treasure chest to treasury [Finance],The Economic Times,NEW DELHI,New Delhi,2016-11-15,could book a big tax bonanza from demonetisation as many people are likely to deposit their excess cash as income for the current year and,0
Stressed trade channels may hit consumer companies' earnings [News],The Economic Times,ET Intelligence Group,New Delhi,2016-11-15,"the cash demonetising move introduced by the Modi government. The move is likely to impact these companies' trade channels and in turn may impact the|notes like Rs 100. In the vehicle segment, the ban of bills is likely to impact the twowheeler segment more when compared with other categories|notes like Rs 100. In the vehicle segment, the ban of bills is likely to impact the twowheeler segment more when compared with other categories",0
The war against black money,The Assam Tribune,Guwahati,New Delhi,2016-11-15,hopes that this bout of demonetization will change many people's fiscal conduct too. They are likely to shift from cash deals to cheques and plastic,0
Armed goons loot a lakh,The Telegraph (India),Bhubaneswar,NEW DELHI,2016-11-16,"Khandagiri police station this evening.This is the first incident of loot of new currency notes in the city after demonetisation of old currency notes.The victim,",0
"Currency crisis bleed away profits of small, medium industries [Hyderabad]",The Times of India,Hyderabad,New Delhi,2016-11-16,"have given additional day off to their employees. Experts say these units are likely to suffer the cascading effect of demonetisation for months. With the|no work are running maintenance work to occupy labour. The demonetisation impact is likely to be felt for at least six months,"" said Arun Luharuka,",0
Demonetisation: SBI report had clues to possible currency pullback in March,Indian Express,NA,NEW DELHI,2016-11-16,"a link between such production surge and usage of cash, it maybe possible that demonetisation may have already started to happen prior to the government",0
Eminent citizens' appeal to govt for demonetisation rollback [Jaipur],The Times of India,JAIPUR,New Delhi,2016-11-16,"have put forth nine points to explain why the move is not likely to achieve the desired ends. If high-value notes are used to ""hoard",0
Sandalwood hopes to shrug off demonetisaton blues with two releases [Bengaluru],The Times of India,BENGALURU,New Delhi,2016-11-16,can't keep the release on hold as the after-effects of demonetization are likely to linger till December-end. Confirming the Sharan and Mayuri Kanti-starrer will be,0
Raghuram Rajan preferred other ways over demonetisation to tackle black money,The Hindustan Times,Mumbai,New Delhi,2016-11-16,"quite sure if what you meant is demonetise the old notes and introduce new notes instead. In the past, demonetisation has been thought of as|quite sure if what you meant is demonetise the old notes and introduce new notes instead. In the past, demonetisation has been thought of as",2
"Another rate cut likely this fiscal, say HSBC economist",Businessline,NA,Chennai,2016-11-16,"hefty margin, she said. Further, the recent demonetization of high denominated currency is likely to lower growth and inflation (on the back of a contraction",0
Viral Again: Sonam Gupta Bewafaa returns as demonetisation jokes continue in social circuit,Free Press Journal,NA,NEW DELHI,2016-11-16,"and was soon viral.This time around post the demonetisation and introduction of the new notes, Sonam Gupta has returned on the social media circuit, and",0
"Amid crisis following note-ban, former Karnataka CM BS Yeddyurappa appears at the grand wedding of controversial BJP lea...",Financial Express,NA,NEW DELHI,2016-11-16,"been a ban on Rs 500, Rs 1,000 notes, replacing them with new currency notes. The note-ban policy by the central government had brought in",0
"Demonetisation of Rs 500, Rs 1000: Here's SBI report that gave hint about PM Narendra Modi scheme in March",Financial Express,NA,NEW DELHI,2016-11-16,"a link between such production surge and usage of cash, it maybe possible that demonetisation may have already started to happen prior to the government",0
Govt claims 'upper hand',The Telegraph (India),New Delhi,NEW DELHI,2016-11-16,"before the finance minister Arun Jaitley replies.The parliamentary ministry source said the government was ""unlikely"" to give in to the Opposition's call to discuss demonetisation",0
"Demonetisation impact: Housing demand may slowdown; small biz to be hit too, says Kotak",Financial Express,NA,NEW DELHI,2016-11-16,"The current round of demonetisation is likely to disrupt the small business ecosystem in the near term, as the",0
Demonetisation hits NBFC stocks,The Hindu,Business,Chennai,2016-11-16,"others who mostly deal in cash. “The current round of demonetisation is likely to disrupt the small business ecosystem in the near term, as the",0
Disruptions after note curbs likely to add to asset stress,Financial Express,NA,NEW DELHI,2016-11-16,the high CASA banks. Mid corp & SME stress could rise: Disruptions post the demonetization is likely to add to the asset quality stress for,0
"A WINDFALL FOR GOVERNMENT, BUT LOSSES FOR RBI: STUDY",India Business Insight,NA,Bangalore,2016-11-16,State Bank of India (SBI) showed that the Government of India is likely to garner Rs2.5 lakh crore or more following demonetisation of the Rs500,0
Cash crunch may displace civic issues in Municipal Corporation polls in Chandigarh,Indian Express,NA,NEW DELHI,2016-11-17,"said, ""Our business has been affected but we feel that when the new currency will be in circulation, it will revive. The demonetisation issue may",0
White is the new black,The Hindu,Opinion,Chennai,2016-11-17,"West Asia and where undeclared income is rife, a relatively aware local population is likely to see the demonetisation as justified and hurting the rich.|of their own livelihood, about which we presently read in the press. They are likely to see the demonetisation as a form of bloodletting. What",0
NBFCs see delay in loan repayments,Businessline,NA,Chennai,2016-11-17,loan dues in the short term - a fallout of demonetisation. They are likely to be hard hit since a significant part of their loan,0
Beyond the atm,Indian Express,NA,NEW DELHI,2016-11-17,"by the demonetisation decision of November 8. The printing and transportation of new notes are likely to take time, even as queues at banks and",0
"'Roll back demonetization, it has caused riot-like situation' [Jaipur]",The Times of India,JAIPUR,New Delhi,2016-11-17,"have put forth nine points to explain why the move is not likely to achieve the desired ends: If high-value notes are used to ""hoard",0
"Cash shortages a gain, Centre mulls over lenient rules on loan classification",Financial Express,NA,NEW DELHI,2016-11-17,"the incremental stress in the September quarter. ""Disruptions post the demonetisation are likely to add to the asset quality stress for the financial system, particularly",0
Kohli bowled over by Modi move,DNA : Daily News & Analysis,Visakhapatnam,Mumbai,2016-11-17,has been hit by the move too. The Vizag Test match is likely to hit badly by the demonetization move. Despite hosting its first ever|has been hit by the move too. The Vizag Test match is likely to hit badly by the demonetization move. Despite hosting its first ever,0
"Another rate cut likely this fiscal, says HSBC economist",Businessline,NA,Chennai,2016-11-17,"early-2018 by a hefty margin, she said. Further, the recent demonetisation is likely to lower growth and inflation (on the back of a contraction in",0
"Is it time to start buying stocks? The 'Kill Bill' move has it advantages, too [News]",The Economic Times,ET Intelligence Group,New Delhi,2016-11-17,"the cost of funds. With 18% share of bank deposits, which is likely to increase now, after the demonetisation tremors calm down it may lead",0
MFIs may find high ovedues due to demonetisation: Ind-Ra,IANS English,Kolkata,Noida,2016-11-17,"said microfinance institutions (MFIs) may experience high overdues. ""Ind-Ra believes demonetisation is likely to affect MFI borrowers and MFIs across the country, albeit temporarily. MFIs'",0
Demonetisation leaves Telangana in squeeze [Hyderabad],The Times of India,HYDERABAD,New Delhi,2016-11-17,of India already announced a 50-day schedule for complete changeover to the new currency. The department pointed that the pain caused by demonetisation will continue,0
Clash near PNB ATM near Bhiwandi [Mumbai],The Times of India,BHIWANDI,New Delhi,2016-11-17,BHIWANDI: The chaos over demonetization and the rush to get new currency notes took an ugly turn on Wednesday afternoon when local residents,0
"Labourers, contractors run out of jobs [Ranchi]",The Times of India,RANCHI,New Delhi,2016-11-18,have been affected by the move. Contractor Sanjay Kashyap said work is likely to come to a halt as he needs to buy building materials,0
No plans to seize lockers,United News of India,New Delhi,New Delhi,2016-11-18,would finally benefit the poor and the underprivileged of the country. The Ministry once again reiterated that demonetisation move was kept top secret and no,0
"Cashier's day: Dispensing cash, disposing of panic [Nagpur]",The Times of India,Nagpur,New Delhi,2016-11-18,"the day of the announcement, cashiers have worked relentlessly, dispensing change and new notes, making entries, and being at the receiving end of frustration of",0
Bank manager dies in Rohtak handling demonetisation rush,Indian Express,NA,NEW DELHI,2016-11-18,"the bank was suspended. In Haryana, more than Rs 1,400 crore in new currency notes has been disbursed since the order for demonetisation. The state",0
"Demonetisation: NRI, Foreign tourists express concern over note-ban; government sets up panel to sought issue",Financial Express,NA,NEW DELHI,2016-11-18,concerns to the Ministry of External Affairs over the accessibility to the new currency notes. Following the demonetisation policy and the ban on Rs 500|concerns to the Ministry of External Affairs over the accessibility to the new currency notes. Following the demonetisation policy and the ban on Rs 500|concerns to the Ministry of External Affairs over the accessibility to the new currency notes. Following the demonetisation policy and the ban on Rs 500,0
Demonetisation: Is it enough?,Financial Express,NA,NEW DELHI,2016-11-18,"Additionally, for those with a history of paying taxes diligently, demonetisation is likely to be an administrative nightmare especially for banks which may find it",0
Demonetisation a 'Bold Move' to curb shadow economy: Bill Gates,Kashmir Images,NEW DELHI,New Delhi,2016-11-18,"bills. ""The Prime Minister's bold move to demonetise high-value denominations and replace with new notes with high security features is an important step to deflate",0
Demonetisation: Govt mulls limits on cash withdrawals and transactions for both individuals and companies [Policy],The Economic Times,MUMBAI,New Delhi,2016-11-18,"be a strategy to avoid a blowback that demonetisation unleashed, experts said. The government may be looking at preparing and gauging the impact of such",0
"MFIs likely to face the music, cautions Ind-Ra",Financial Express,NA,NEW DELHI,2016-11-18,"institutions (MFIs) could near the regulatory minimum levels. ""Ind-Ra believes demonetisation is likely to affect MFI borrowers and MFIs across the country, albeit temporarily. MFIs'",0
CM skips Guj rally to join Didi in slamming note ban,DNA : Daily News & Analysis,New Delhi,Mumbai,2016-11-18,visited the Reserve Bank of India (RBI) to check on the progress of printing new notes and meet the RBI Governor to discuss demonetization. Credit:Sumit,0
Fact vs Fiction,DNA : Daily News & Analysis,"""One mega announcement",Mumbai,2016-11-18,"be spent. DNA busts some more rumours and myths about the demonetization as well as the new currency note. 1. Rumour: The new Rs 2,000",0
"Voting begins in by-elections in 14 Assembly, Lok Sabha seats across 7 states",Indian Express,NA,NEW DELHI,2016-11-19,"PM Narendra Modi's demonetisation move, aimed at tackling black money, is likely to have an impact on the by-polls. Voting has begun in constituencies|that PM Narendra Modi's demonetisation move, aimed at tackling black money, is likely to have an impact on the by-polls. BY-ELECTIONS Lok Sabha seats *ASSAM:",0
"ATMs IN SMALL CITIES, VILLAGES WILL TAKE WEEKS TO BE READY",India Business Insight,India had 2,Bangalore,2016-11-19,"The recalibration exercise is being undertaken to enable the ATMs to dispense new notes following demonetisation of the old Rs500 and Rs1,000 bank notes around",0
"Demonetisation slams brake, trucks grind to halt",Indian Express,NA,NEW DELHI,2016-11-19,"of truckers has almost come to a halt, with India entering the new currency age due to demonetisation. The truck drivers are feeling doomed owing",0
"'New Rs 2,000 more like a dollar, can't get change for it' [Noida]",The Times of India,NOIDA,New Delhi,2016-11-19,"the tenth day of demonetisation as most banks rationalised the distribution of new currency notes to accommodate more people. The distribution of new Rs 2,000",0
"Jallikattu supporters protest, plan state-wide stir against ban [Trichy]",The Times of India,TRICHY/MADURAI,New Delhi,2016-11-19,"a special case during its winter session. But, the demonetization issue was likely to dominate the session, he pointed out. ""The ban on Jallikattu has|a special case during its winter session. But, the demonetization issue was likely to dominate the session, he pointed out. ""The ban on Jallikattu has",0
